City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
614,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
623,Salta,AR,81.57,clear sky,-24.7859,-65.4117,Hotel Alejandro I
624,Manokwari,ID,78.35,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
625,Sao Lourenco,BR,77.74,broken clouds,-22.1164,-45.0544,Alzira Plaza Hotel
626,Luwuk,ID,77.09,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
627,Bhiwani,IN,87.53,clear sky,28.7833,76.1333,Gaur Guest House
628,Grand Gaube,MU,79.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
632,Antalaha,MG,77.0,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
635,Auki,SB,77.36,overcast clouds,-8.7676,160.7034,Auki Motel
641,Junin,AR,84.13,clear sky,-34.5838,-60.9433,Hotel Central
642,Porto Walter,BR,83.34,broken clouds,-8.2686,-72.7439,Secretaria de saúde
643,Cairns,AU,75.15,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
650,Pandan,PH,77.14,moderate rain,14.0453,124.1694,Bonifacio Lodge
659,Epe,NG,85.57,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
660,Okitipupa,NG,84.81,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
662,San Quintin,MX,75.04,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
664,San Rafael,AR,79.45,few clouds,-34.6177,-68.3301,Hotel San Rafael
667,Mananjary,MG,76.42,moderate rain,-21.2167,48.3333,Vahiny Lodge
670,Nuqui,CO,78.35,light rain,5.7125,-77.2708,Hotel Nuquimar
672,Kpandae,GH,78.15,heavy intensity rain,8.4689,-0.0113,S. Amaski Guest House
673,Sao Francisco,BR,87.93,light rain,-15.9486,-44.8644,Pousada Peixe Vivo
