City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
188,Jutai,BR,-5.1833,-68.9,72.43,94,60,1.97,broken clouds
189,Shirvan,AZ,39.9509,48.8994,53.58,65,100,4.81,overcast clouds
190,Sivaki,RU,52.6333,126.75,31.66,27,36,14.79,scattered clouds
191,Mezen,RU,65.8522,44.24,29.55,97,100,7.87,light snow
192,Cherskiy,RU,68.75,161.3,-2.15,86,56,3.09,broken clouds
193,Doba,TD,8.65,16.85,79.66,55,100,7.45,overcast clouds
194,Erdaojiang,CN,41.7764,126.0319,46.26,27,80,12.35,broken clouds
195,Santa Cruz Del Sur,CU,20.7147,-77.9956,78.76,78,6,2.57,clear sky
196,Pangai,TO,-19.8,-174.35,82.04,75,100,12.82,overcast clouds
197,Korla,CN,41.7597,86.1469,68.04,18,4,3.83,clear sky
198,Beringovskiy,RU,63.05,179.3167,4.5,73,16,2.75,few clouds
199,Bay Saint Louis,US,30.3088,-89.33,75.29,88,46,17.02,scattered clouds
200,Belvedere Park,US,33.7548,-84.2674,66.42,87,100,0.0,thunderstorm with light rain
201,Port Blair,IN,11.6667,92.75,80.64,83,75,3.44,drizzle
202,Kirakira,SB,-10.4544,161.9205,82.81,78,100,12.37,overcast clouds
203,Sovetskiy,RU,61.3614,63.5842,29.64,89,62,5.3,broken clouds
204,San Jeronimo,PE,-11.9472,-75.2829,45.43,85,20,3.22,few clouds
205,Garowe,SO,8.4054,48.4845,69.39,85,3,9.31,clear sky
206,Leningradskiy,RU,69.3833,178.4167,-2.27,95,100,21.77,light snow
207,Cabedelo,BR,-6.9811,-34.8339,75.87,82,51,7.54,broken clouds
208,Bianzhuang,CN,34.8486,118.0447,68.09,57,0,2.48,clear sky
209,Heinola,FI,61.2056,26.0381,23.0,96,100,5.12,overcast clouds
210,Lichuan,CN,30.3,108.85,69.03,38,0,2.19,clear sky
211,Tomaszow Lubelski,PL,50.4477,23.4162,45.7,83,100,10.85,overcast clouds
212,Cayenne,GF,4.9333,-52.3333,79.09,1,75,5.99,broken clouds
213,Fort Walton Beach,US,30.4058,-86.6188,76.05,96,100,11.99,mist
214,Puntarenas,CR,9.9763,-84.8384,81.72,75,100,2.62,overcast clouds
215,East London,ZA,-33.0153,27.9116,60.44,63,7,20.02,clear sky
216,Port-Gentil,GA,-0.7193,8.7815,79.92,86,100,12.5,overcast clouds
217,Bath,GB,51.3779,-2.3591,47.77,81,100,21.79,overcast clouds
218,Kismayo,SO,-0.3582,42.5454,81.1,75,11,10.47,few clouds
219,Bethel,US,41.3712,-73.414,48.07,91,100,3.0,overcast clouds
220,Boshnyakovo,RU,49.6333,142.1667,29.59,68,84,18.57,broken clouds
221,Nahan,IN,30.55,77.3,87.96,11,1,3.04,clear sky
222,Borshchiv,UA,48.8033,26.0435,44.01,79,39,6.31,scattered clouds
223,Yerbogachen,RU,61.2767,108.0108,33.37,100,100,8.12,overcast clouds
224,Jalu,LY,29.0331,21.5482,84.49,9,7,13.4,clear sky
225,Troitskoye,RU,52.9821,84.6757,42.71,75,39,4.45,scattered clouds
226,Richards Bay,ZA,-28.783,32.0377,70.97,79,87,16.42,light rain
227,Twentynine Palms,US,34.1356,-116.0542,74.97,7,0,4.0,clear sky
228,Culiacan,MX,24.7994,-107.3897,72.16,85,0,0.0,clear sky
